Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
13178,5/3/2021 1:26:34 PM,38.55000,19.82000,0.20000,40.00000,37.00000,40.00000,68.00000,85.00000,67.00000,5.59000,4.73000,5.59000,5.30333,43.34668,62.79061,19.52333,39.00000,73.33333
13179,5/3/2021 1:26:34 PM,39.90000,20.31000,-0.17000,38.00000,33.00000,36.00000,76.00000,83.00000,64.00000,4.73000,3.01000,3.87000,3.87000,44.77171,63.02288,20.01333,35.66667,74.33333
13180,5/3/2021 1:26:34 PM,39.56000,18.63000,-0.03000,45.00000,43.00000,45.00000,87.00000,89.00000,66.00000,7.74000,7.31000,7.74000,7.59667,43.72723,64.78284,19.38667,44.33333,80.66667
13181,5/3/2021 1:26:34 PM,33.93000,18.94000,-0.40000,32.00000,32.00000,32.00000,25.00000,79.00000,20.00000,2.15000,2.58000,2.15000,2.29333,38.85831,60.82939,17.49000,32.00000,41.33333
13182,5/3/2021 1:26:34 PM,39.55000,18.90000,-0.11000,40.00000,36.00000,40.00000,54.00000,80.00000,83.00000,5.59000,4.30000,5.59000,5.16000,43.83392,64.45798,19.44667,38.66667,72.33333
13183,5/3/2021 1:26:34 PM,38.24000,19.19000,-0.08000,37.00000,37.00000,39.00000,43.00000,85.00000,63.00000,4.30000,4.73000,5.16000,4.73000,42.78497,63.35110,19.11667,37.66667,63.66667
13184,5/3/2021 1:26:34 PM,38.94000,19.93000,-0.09000,46.00000,42.00000,47.00000,67.00000,88.00000,66.00000,8.17000,6.88000,8.60000,7.88333,43.74390,62.89604,19.59333,45.00000,73.66667
13185,5/3/2021 1:26:34 PM,36.22000,19.20000,-0.16000,37.00000,33.00000,37.00000,49.00000,81.00000,65.00000,4.30000,3.01000,4.30000,3.87000,40.99425,62.07221,18.42000,35.66667,65.00000
13186,5/3/2021 1:26:34 PM,38.84000,18.01000,-0.10000,41.00000,39.00000,41.00000,75.00000,78.00000,63.00000,6.02000,5.59000,6.02000,5.87667,42.81245,65.12298,18.91667,40.33333,72.00000
13187,5/3/2021 1:26:34 PM,39.08000,18.55000,-0.02000,43.00000,42.00000,43.00000,70.00000,89.00000,84.00000,6.88000,6.88000,6.88000,6.88000,43.25909,64.60784,19.20333,42.66667,81.00000
13188,5/3/2021 1:26:35 PM,13.31000,7.43000,-0.73000,31.00000,29.00000,33.00000,46.00000,57.00000,40.00000,1.72000,1.29000,2.58000,1.86333,15.24339,60.82857,6.67000,31.00000,47.66667
13189,5/3/2021 1:26:35 PM,39.05000,20.79000,0.70000,34.00000,35.00000,38.00000,25.00000,81.00000,56.00000,3.01000,3.87000,4.73000,3.87000,44.23942,61.96941,20.18000,35.66667,54.00000
13190,5/3/2021 1:26:35 PM,37.51000,18.52000,0.27000,37.00000,37.00000,33.00000,79.00000,86.00000,61.00000,4.30000,4.73000,2.58000,3.87000,41.83289,63.72283,18.76667,35.66667,75.33333
13191,5/3/2021 1:26:35 PM,37.85000,20.36000,0.03000,33.00000,32.00000,32.00000,36.00000,81.00000,22.00000,2.58000,2.58000,2.15000,2.43667,42.97851,61.72362,19.41333,32.33333,46.33333
13192,5/3/2021 1:26:35 PM,38.34000,19.82000,0.24000,36.00000,32.00000,33.00000,71.00000,77.00000,49.00000,3.87000,2.58000,2.58000,3.01000,43.16003,62.66313,19.46667,33.66667,65.66667
13193,5/3/2021 1:26:35 PM,37.44000,16.66000,0.71000,33.00000,35.00000,31.00000,63.00000,84.00000,46.00000,2.58000,3.87000,1.72000,2.72333,40.97937,66.01196,18.27000,33.00000,64.33333
13194,5/3/2021 1:26:35 PM,38.02000,19.59000,0.09000,42.00000,40.00000,42.00000,76.00000,86.00000,80.00000,6.45000,6.02000,6.45000,6.30667,42.77018,62.73998,19.23333,41.33333,80.66667
13195,5/3/2021 1:26:35 PM,39.98000,19.17000,0.28000,34.00000,28.00000,32.00000,67.00000,75.00000,53.00000,3.01000,0.86000,2.15000,2.00667,44.33835,64.38276,19.81000,31.33333,65.00000
13196,5/3/2021 1:26:35 PM,39.58000,20.48000,0.08000,54.00000,48.00000,55.00000,67.00000,91.00000,87.00000,11.61000,9.46000,12.04000,11.03667,44.56464,62.64146,20.04667,52.33333,81.66667
13197,5/3/2021 1:26:35 PM,37.95000,20.14000,0.24000,41.00000,35.00000,37.00000,69.00000,87.00000,50.00000,6.02000,3.87000,4.30000,4.73000,42.96303,62.04518,19.44333,37.66667,68.66667
13198,5/3/2021 1:26:35 PM,39.56000,19.46000,-0.19000,51.00000,41.00000,47.00000,62.00000,83.00000,79.00000,10.32000,6.45000,8.60000,8.45667,44.08724,63.80692,19.61000,46.33333,74.66667
13199,5/3/2021 1:26:35 PM,39.07000,21.57000,-0.07000,37.00000,32.00000,32.00000,58.00000,73.00000,44.00000,4.30000,2.58000,2.15000,3.01000,44.62880,61.09753,20.19000,33.66667,58.33333
13200,5/3/2021 1:26:35 PM,42.31000,20.39000,0.24000,33.00000,36.00000,36.00000,49.00000,80.00000,51.00000,2.58000,4.30000,3.87000,3.58333,46.96688,64.26969,20.98000,35.00000,60.00000
13201,5/3/2021 1:26:35 PM,38.26000,20.21000,0.00000,45.00000,40.00000,45.00000,72.00000,86.00000,77.00000,7.74000,6.02000,7.74000,7.16667,43.26976,62.15574,19.49000,43.33333,78.33333
13202,5/3/2021 1:26:35 PM,39.08000,19.18000,-0.13000,40.00000,36.00000,37.00000,76.00000,85.00000,57.00000,5.59000,4.30000,4.30000,4.73000,43.53296,63.85874,19.37667,37.66667,72.66667
13203,5/3/2021 1:26:35 PM,39.98000,19.90000,-0.04000,39.00000,39.00000,40.00000,76.00000,86.00000,80.00000,5.16000,5.59000,5.59000,5.44667,44.65882,63.53823,19.94667,39.33333,80.66667
13204,5/3/2021 1:26:35 PM,37.75000,19.87000,0.13000,31.00000,32.00000,31.00000,53.00000,79.00000,49.00000,1.72000,2.58000,1.72000,2.00667,42.66004,62.23958,19.25000,31.33333,60.33333
13205,5/3/2021 1:26:35 PM,17.53000,15.29000,-1.50000,31.00000,32.00000,35.00000,13.00000,78.00000,29.00000,1.72000,2.58000,3.44000,2.58000,23.26123,48.90444,10.44000,32.66667,40.00000
13206,5/3/2021 1:26:35 PM,39.71000,20.14000,-0.07000,42.00000,44.00000,43.00000,53.00000,86.00000,53.00000,6.45000,7.74000,6.88000,7.02333,44.52532,63.10692,19.92667,43.00000,64.00000
13207,5/3/2021 1:26:35 PM,37.32000,20.99000,-0.24000,38.00000,34.00000,39.00000,49.00000,77.00000,55.00000,4.73000,3.44000,5.16000,4.44333,42.81778,60.64516,19.35667,37.00000,60.33333
13208,5/3/2021 1:26:35 PM,39.82000,20.03000,0.00000,49.00000,49.00000,52.00000,71.00000,91.00000,74.00000,9.46000,9.89000,10.75000,10.03333,44.57391,63.29699,19.95000,50.00000,78.66667
13209,5/3/2021 1:26:35 PM,39.59000,19.92000,-0.07000,39.00000,35.00000,39.00000,61.00000,83.00000,71.00000,5.16000,3.87000,5.16000,4.73000,44.31901,63.29041,19.81333,37.66667,71.66667
13210,5/3/2021 1:26:35 PM,38.62000,18.59000,0.35000,40.00000,33.00000,35.00000,59.00000,75.00000,48.00000,5.59000,3.01000,3.44000,4.01333,42.86132,64.29585,19.18667,36.00000,60.66667
13211,5/3/2021 1:26:35 PM,40.16000,20.06000,0.07000,63.00000,58.00000,63.00000,80.00000,92.00000,72.00000,15.48000,13.76000,15.48000,14.90667,44.89130,63.45778,20.09667,61.33333,81.33333
13212,5/3/2021 1:26:35 PM,37.18000,19.19000,0.19000,35.00000,35.00000,34.00000,50.00000,80.00000,57.00000,3.44000,3.87000,3.01000,3.44000,41.84027,62.70004,18.85333,34.66667,62.33333
13213,5/3/2021 1:26:36 PM,41.20000,20.45000,0.36000,36.00000,35.00000,38.00000,55.00000,73.00000,50.00000,3.87000,3.87000,4.73000,4.15667,45.99611,63.60207,20.67000,36.33333,59.33333
13214,5/3/2021 1:26:36 PM,40.38000,20.12000,0.19000,40.00000,36.00000,41.00000,58.00000,86.00000,71.00000,5.59000,4.30000,6.02000,5.30333,45.11495,63.51446,20.23000,39.00000,71.66667
13215,5/3/2021 1:26:36 PM,35.11000,19.73000,-0.30000,33.00000,35.00000,34.00000,36.00000,76.00000,43.00000,2.58000,3.87000,3.01000,3.15333,40.27387,60.66627,18.18000,34.00000,51.66667
13216,5/3/2021 1:26:36 PM,37.56000,19.74000,-0.13000,39.00000,38.00000,41.00000,50.00000,86.00000,74.00000,5.16000,5.16000,6.02000,5.44667,42.43137,62.27542,19.05667,39.33333,70.00000
13217,5/3/2021 1:26:36 PM,37.72000,20.89000,-0.04000,45.00000,40.00000,45.00000,58.00000,84.00000,61.00000,7.74000,6.02000,7.74000,7.16667,43.11833,61.02154,19.52333,43.33333,67.66667
13218,5/3/2021 1:26:36 PM,39.19000,20.95000,0.00000,36.00000,35.00000,38.00000,53.00000,82.00000,68.00000,3.87000,3.87000,4.73000,4.15667,44.43826,61.87215,20.04667,36.33333,67.66667
13219,5/3/2021 1:26:36 PM,38.23000,20.30000,-0.27000,46.00000,39.00000,47.00000,65.00000,82.00000,73.00000,8.17000,5.59000,8.60000,7.45333,43.28536,62.03185,19.42000,44.00000,73.33333
13220,5/3/2021 1:26:36 PM,40.73000,18.97000,0.09000,47.00000,44.00000,49.00000,75.00000,90.00000,77.00000,8.60000,7.74000,9.46000,8.60000,44.93099,65.02625,19.93000,46.66667,80.66667
13221,5/3/2021 1:26:36 PM,40.10000,19.33000,-0.05000,49.00000,48.00000,51.00000,83.00000,94.00000,79.00000,9.46000,9.46000,10.32000,9.74667,44.51583,64.26385,19.79333,49.33333,85.33333
13222,5/3/2021 1:26:36 PM,39.81000,19.56000,-0.31000,43.00000,44.00000,46.00000,73.00000,88.00000,87.00000,6.88000,7.74000,8.17000,7.59667,44.35572,63.83355,19.68667,44.33333,82.66667
13223,5/3/2021 1:26:36 PM,36.35000,16.27000,0.20000,30.00000,33.00000,31.00000,40.00000,86.00000,39.00000,1.29000,3.01000,1.72000,2.00667,39.82506,65.88705,17.60667,31.33333,55.00000
13224,5/3/2021 1:26:36 PM,15.36000,15.24000,-0.83000,29.00000,29.00000,31.00000,41.00000,62.00000,30.00000,0.86000,1.29000,1.72000,1.29000,21.63763,45.22469,9.92333,29.66667,44.33333
13225,5/3/2021 1:26:36 PM,39.92000,20.07000,-0.25000,51.00000,51.00000,49.00000,78.00000,95.00000,82.00000,10.32000,10.75000,9.46000,10.17667,44.68122,63.30878,19.91333,50.33333,85.00000
13226,5/3/2021 1:26:36 PM,39.85000,20.69000,-0.12000,37.00000,41.00000,36.00000,72.00000,90.00000,63.00000,4.30000,6.45000,3.87000,4.87333,44.90099,62.56180,20.14000,38.00000,75.00000
13227,5/3/2021 1:26:36 PM,38.06000,18.80000,0.03000,44.00000,38.00000,39.00000,69.00000,81.00000,52.00000,7.31000,5.16000,5.16000,5.87667,42.45001,63.71261,18.96333,40.33333,67.33333
13228,5/3/2021 1:26:36 PM,36.09000,19.20000,-0.59000,33.00000,28.00000,30.00000,48.00000,63.00000,42.00000,2.58000,0.86000,1.29000,1.57667,40.87944,61.98687,18.23333,30.33333,51.00000
13229,5/3/2021 1:26:36 PM,39.87000,19.57000,0.19000,46.00000,47.00000,47.00000,65.00000,88.00000,80.00000,8.17000,9.03000,8.60000,8.60000,44.41398,63.85611,19.87667,46.66667,77.66667
13230,5/3/2021 1:26:36 PM,37.32000,14.97000,0.31000,36.00000,35.00000,36.00000,46.00000,83.00000,32.00000,3.87000,3.87000,3.87000,3.87000,40.21049,68.14303,17.53333,35.66667,53.66667
13231,5/3/2021 1:26:36 PM,38.49000,19.76000,-0.01000,44.00000,39.00000,44.00000,80.00000,86.00000,70.00000,7.31000,5.59000,7.31000,6.73667,43.26590,62.82494,19.41333,42.33333,78.66667
13232,5/3/2021 1:26:36 PM,38.07000,18.91000,0.31000,45.00000,43.00000,46.00000,74.00000,89.00000,76.00000,7.74000,7.31000,8.17000,7.74000,42.50780,63.58565,19.09667,44.66667,79.66667
13233,5/3/2021 1:26:36 PM,39.62000,19.17000,0.52000,42.00000,36.00000,41.00000,61.00000,88.00000,73.00000,6.45000,4.30000,6.02000,5.59000,44.01401,64.18014,19.77000,39.66667,74.00000
13234,5/3/2021 1:26:36 PM,38.77000,17.53000,0.28000,38.00000,31.00000,35.00000,60.00000,79.00000,60.00000,4.73000,2.15000,3.44000,3.44000,42.54896,65.66972,18.86000,34.66667,66.33333
13235,5/3/2021 1:26:36 PM,38.17000,19.71000,0.12000,35.00000,37.00000,37.00000,40.00000,82.00000,63.00000,3.44000,4.73000,4.30000,4.15667,42.95850,62.68934,19.33333,36.33333,61.66667
13236,5/3/2021 1:26:36 PM,38.99000,18.63000,-0.17000,45.00000,41.00000,46.00000,71.00000,90.00000,71.00000,7.74000,6.45000,8.17000,7.45333,43.21223,64.46084,19.15000,44.00000,77.33333
13237,5/3/2021 1:26:36 PM,38.38000,19.28000,0.11000,35.00000,36.00000,35.00000,63.00000,84.00000,61.00000,3.44000,4.30000,3.44000,3.72667,42.95047,63.32756,19.25667,35.33333,69.33333
13238,5/3/2021 1:26:37 PM,39.00000,20.43000,-0.29000,44.00000,40.00000,43.00000,75.00000,88.00000,75.00000,7.31000,6.02000,6.88000,6.73667,44.02709,62.35238,19.71333,42.33333,79.33333
13239,5/3/2021 1:26:37 PM,39.71000,19.89000,-0.03000,40.00000,43.00000,40.00000,59.00000,87.00000,67.00000,5.59000,7.31000,5.59000,6.16333,44.41279,63.39456,19.85667,41.00000,71.00000
13240,5/3/2021 1:26:37 PM,40.50000,20.84000,-0.11000,44.00000,39.00000,42.00000,74.00000,88.00000,73.00000,7.31000,5.59000,6.45000,6.45000,45.54729,62.77110,20.41000,41.66667,78.33333
13241,5/3/2021 1:26:37 PM,39.96000,19.29000,-0.07000,52.00000,50.00000,52.00000,77.00000,93.00000,79.00000,10.75000,10.32000,10.75000,10.60667,44.37235,64.23188,19.72667,51.33333,83.00000
13242,5/3/2021 1:26:37 PM,39.55000,19.74000,0.20000,46.00000,44.00000,46.00000,85.00000,92.00000,69.00000,8.17000,7.74000,8.17000,8.02667,44.20260,63.47553,19.83000,45.33333,82.00000
13243,5/3/2021 1:26:37 PM,37.93000,18.97000,-0.05000,56.00000,52.00000,54.00000,75.00000,89.00000,83.00000,12.47000,11.18000,11.61000,11.75333,42.40927,63.42891,18.95000,54.00000,82.33333
13244,5/3/2021 1:26:37 PM,38.36000,19.75000,-0.66000,35.00000,38.00000,35.00000,52.00000,89.00000,58.00000,3.44000,5.16000,3.44000,4.01333,43.14571,62.75791,19.15000,36.00000,66.33333
13245,5/3/2021 1:26:37 PM,24.15000,8.51000,0.13000,28.00000,28.00000,31.00000,46.00000,72.00000,26.00000,0.43000,0.86000,1.72000,1.00333,25.60552,70.58851,10.93000,29.00000,48.00000
13246,5/3/2021 1:26:37 PM,39.13000,19.54000,0.11000,54.00000,50.00000,54.00000,76.00000,90.00000,88.00000,11.61000,10.32000,11.61000,11.18000,43.73749,63.46424,19.59333,52.66667,84.66667
13247,5/3/2021 1:26:37 PM,36.05000,20.52000,-0.29000,39.00000,34.00000,34.00000,63.00000,83.00000,42.00000,5.16000,3.44000,3.01000,3.87000,41.48100,60.35106,18.76000,35.66667,62.66667
13248,5/3/2021 1:26:37 PM,11.26000,1.60000,0.79000,28.00000,28.00000,28.00000,21.00000,62.00000,20.00000,0.43000,0.86000,0.43000,0.57333,11.37311,81.91264,4.55000,28.00000,34.33333
13249,5/3/2021 1:26:37 PM,39.70000,19.59000,0.28000,37.00000,37.00000,37.00000,69.00000,90.00000,63.00000,4.30000,4.73000,4.30000,4.44333,44.27029,63.73593,19.85667,37.00000,74.00000
13250,5/3/2021 1:26:37 PM,35.53000,21.27000,0.29000,31.00000,30.00000,31.00000,29.00000,76.00000,27.00000,1.72000,1.72000,1.72000,1.72000,41.41007,59.09319,19.03000,30.66667,44.00000
13251,5/3/2021 1:26:37 PM,38.68000,19.86000,0.15000,41.00000,37.00000,41.00000,79.00000,81.00000,56.00000,6.02000,4.73000,6.02000,5.59000,43.48059,62.82206,19.56333,39.66667,72.00000
13252,5/3/2021 1:26:37 PM,39.52000,19.84000,0.02000,37.00000,37.00000,38.00000,62.00000,87.00000,49.00000,4.30000,4.73000,4.73000,4.58667,44.22054,63.34224,19.79333,37.33333,66.00000
13253,5/3/2021 1:26:37 PM,39.35000,19.96000,0.03000,42.00000,42.00000,41.00000,74.00000,90.00000,61.00000,6.45000,6.88000,6.02000,6.45000,44.12283,63.10393,19.78000,41.66667,75.00000
13254,5/3/2021 1:26:37 PM,37.83000,21.37000,-0.22000,40.00000,35.00000,36.00000,65.00000,78.00000,47.00000,5.59000,3.87000,3.87000,4.44333,43.44866,60.53809,19.66000,37.00000,63.33333
13255,5/3/2021 1:26:37 PM,36.13000,18.55000,-0.07000,33.00000,36.00000,36.00000,59.00000,83.00000,54.00000,2.58000,4.30000,3.87000,3.58333,40.61378,62.82296,18.20333,35.00000,65.33333
13256,5/3/2021 1:26:37 PM,38.67000,19.37000,-0.12000,37.00000,32.00000,33.00000,70.00000,73.00000,29.00000,4.30000,2.58000,2.58000,3.15333,43.25004,63.39348,19.30667,34.00000,57.33333
13257,5/3/2021 1:26:37 PM,38.01000,20.91000,-0.33000,41.00000,39.00000,42.00000,71.00000,79.00000,59.00000,6.02000,5.59000,6.45000,6.02000,43.38189,61.18400,19.53000,40.66667,69.66667
13258,5/3/2021 1:26:37 PM,24.64000,17.91000,-1.41000,32.00000,32.00000,34.00000,48.00000,74.00000,47.00000,2.15000,2.58000,3.01000,2.58000,30.46141,53.98784,13.71333,32.66667,56.33333
13259,5/3/2021 1:26:37 PM,39.32000,20.10000,-0.27000,60.00000,53.00000,56.00000,84.00000,94.00000,85.00000,14.19000,11.61000,12.47000,12.75667,44.15963,62.92433,19.71667,56.33333,87.66667
13260,5/3/2021 1:26:37 PM,39.96000,19.70000,-0.20000,46.00000,43.00000,44.00000,77.00000,84.00000,78.00000,8.17000,7.31000,7.31000,7.59667,44.55212,63.75703,19.82000,44.33333,79.66667
13261,5/3/2021 1:26:37 PM,38.72000,21.37000,-0.19000,41.00000,37.00000,39.00000,68.00000,83.00000,68.00000,6.02000,4.73000,5.16000,5.30333,44.22573,61.10520,19.96667,39.00000,73.00000
13262,5/3/2021 1:26:37 PM,38.21000,20.09000,0.17000,36.00000,31.00000,35.00000,57.00000,79.00000,60.00000,3.87000,2.15000,3.44000,3.15333,43.16957,62.26557,19.49000,34.00000,65.33333
13263,5/3/2021 1:26:38 PM,48.51000,22.03000,1.25000,30.00000,28.00000,31.00000,14.00000,71.00000,17.00000,1.29000,0.86000,1.72000,1.29000,53.27796,65.57563,23.93000,29.66667,34.00000
13264,5/3/2021 1:26:38 PM,39.84000,19.19000,-0.17000,37.00000,37.00000,39.00000,63.00000,83.00000,65.00000,4.30000,4.73000,5.16000,4.73000,44.22083,64.28097,19.62000,37.66667,70.33333
13265,5/3/2021 1:26:38 PM,37.57000,18.42000,-0.30000,40.00000,35.00000,37.00000,57.00000,87.00000,46.00000,5.59000,3.87000,4.30000,4.58667,41.84258,63.88199,18.56333,37.33333,63.33333
13266,5/3/2021 1:26:38 PM,33.71000,17.04000,0.24000,31.00000,32.00000,31.00000,52.00000,84.00000,54.00000,1.72000,2.58000,1.72000,2.00667,37.77202,63.18395,16.99667,31.33333,63.33333
13267,5/3/2021 1:26:38 PM,14.66000,15.32000,-1.82000,29.00000,27.00000,30.00000,18.00000,58.00000,32.00000,0.86000,0.43000,1.29000,0.86000,21.20420,43.73885,9.38667,28.66667,36.00000
13268,5/3/2021 1:26:38 PM,39.70000,18.17000,0.73000,46.00000,41.00000,46.00000,71.00000,88.00000,64.00000,8.17000,6.45000,8.17000,7.59667,43.66050,65.40725,19.53333,44.33333,74.33333
13269,5/3/2021 1:26:38 PM,39.03000,21.05000,0.38000,47.00000,41.00000,46.00000,77.00000,90.00000,76.00000,8.60000,6.45000,8.17000,7.74000,44.34460,61.66074,20.15333,44.66667,81.00000
13270,5/3/2021 1:26:38 PM,38.23000,21.01000,0.52000,49.00000,45.00000,49.00000,69.00000,82.00000,71.00000,9.46000,8.17000,9.46000,9.03000,43.62285,61.20820,19.92000,47.66667,74.00000
13271,5/3/2021 1:26:38 PM,38.84000,19.52000,0.69000,36.00000,37.00000,35.00000,63.00000,83.00000,61.00000,3.87000,4.73000,3.44000,4.01333,43.46925,63.31706,19.68333,36.00000,69.00000
13272,5/3/2021 1:26:38 PM,36.72000,19.65000,0.10000,37.00000,34.00000,36.00000,64.00000,86.00000,71.00000,4.30000,3.44000,3.87000,3.87000,41.64710,61.84739,18.82333,35.66667,73.66667
13273,5/3/2021 1:26:38 PM,39.84000,18.85000,-0.04000,35.00000,31.00000,31.00000,72.00000,78.00000,42.00000,3.44000,2.15000,1.72000,2.43667,44.07435,64.67918,19.55000,32.33333,64.00000
13274,5/3/2021 1:26:38 PM,38.50000,20.76000,-0.24000,53.00000,49.00000,57.00000,74.00000,93.00000,83.00000,11.18000,9.89000,12.90000,11.32333,43.74046,61.66553,19.67333,53.00000,83.33333
13275,5/3/2021 1:26:38 PM,38.62000,20.23000,0.33000,43.00000,40.00000,44.00000,77.00000,83.00000,67.00000,6.88000,6.02000,7.31000,6.73667,43.59768,62.35347,19.72667,42.33333,75.66667
13276,5/3/2021 1:26:38 PM,38.36000,19.65000,0.17000,42.00000,43.00000,44.00000,63.00000,84.00000,72.00000,6.45000,7.31000,7.31000,7.02333,43.10002,62.87610,19.39333,43.00000,73.00000
13277,5/3/2021 1:26:38 PM,39.27000,20.35000,-0.01000,49.00000,42.00000,42.00000,71.00000,86.00000,74.00000,9.46000,6.88000,6.45000,7.59667,44.22958,62.60648,19.87000,44.33333,77.00000
13278,5/3/2021 1:26:38 PM,40.40000,20.23000,0.25000,45.00000,45.00000,44.00000,64.00000,89.00000,74.00000,7.74000,8.17000,7.31000,7.74000,45.18200,63.40092,20.29333,44.66667,75.66667
13279,5/3/2021 1:26:38 PM,37.67000,19.98000,0.08000,48.00000,42.00000,44.00000,76.00000,81.00000,75.00000,9.03000,6.88000,7.31000,7.74000,42.64070,62.05872,19.24333,44.66667,77.33333
13280,5/3/2021 1:26:38 PM,35.69000,18.72000,-0.26000,34.00000,34.00000,37.00000,53.00000,80.00000,68.00000,3.01000,3.44000,4.30000,3.58333,40.30154,62.32224,18.05000,35.00000,67.00000
13281,5/3/2021 1:26:38 PM,39.67000,20.50000,-0.23000,33.00000,36.00000,35.00000,46.00000,80.00000,70.00000,2.58000,4.30000,3.44000,3.44000,44.65377,62.67174,19.98000,34.66667,65.33333
13282,5/3/2021 1:26:38 PM,39.07000,18.55000,0.38000,40.00000,40.00000,41.00000,65.00000,86.00000,64.00000,5.59000,6.02000,6.02000,5.87667,43.25006,64.60216,19.33333,40.33333,71.66667
13283,5/3/2021 1:26:38 PM,33.96000,16.03000,0.28000,32.00000,28.00000,34.00000,34.00000,72.00000,23.00000,2.15000,0.86000,3.01000,2.00667,37.55320,64.73147,16.75667,31.33333,43.00000
13284,5/3/2021 1:26:38 PM,35.61000,13.40000,0.89000,33.00000,29.00000,32.00000,56.00000,73.00000,39.00000,2.58000,1.29000,2.15000,2.00667,38.04776,69.37874,16.63333,31.33333,56.00000
13285,5/3/2021 1:26:38 PM,38.58000,20.91000,0.19000,34.00000,37.00000,37.00000,46.00000,85.00000,70.00000,3.01000,4.73000,4.30000,4.01333,43.88217,61.54272,19.89333,36.00000,67.00000
13286,5/3/2021 1:26:38 PM,12.71000,18.26000,-2.29000,28.00000,28.00000,32.00000,16.00000,66.00000,28.00000,0.43000,0.86000,2.15000,1.14667,22.24796,34.84012,9.56000,29.33333,36.66667
13287,5/3/2021 1:26:38 PM,40.10000,20.59000,-0.13000,39.00000,37.00000,38.00000,72.00000,86.00000,54.00000,5.16000,4.73000,4.73000,4.87333,45.07725,62.82103,20.18667,38.00000,70.66667
13288,5/3/2021 1:26:39 PM,39.08000,19.86000,-0.11000,53.00000,56.00000,53.00000,81.00000,90.00000,78.00000,11.18000,12.90000,11.18000,11.75333,43.83681,63.06085,19.61000,54.00000,83.00000
13289,5/3/2021 1:26:39 PM,37.37000,19.34000,-0.58000,36.00000,35.00000,35.00000,65.00000,87.00000,73.00000,3.87000,3.87000,3.44000,3.72667,42.07793,62.63720,18.71000,35.33333,75.00000
13290,5/3/2021 1:26:39 PM,37.71000,20.69000,-0.21000,38.00000,40.00000,38.00000,60.00000,89.00000,46.00000,4.73000,6.02000,4.73000,5.16000,43.01302,61.24815,19.39667,38.66667,65.00000
13291,5/3/2021 1:26:39 PM,36.97000,21.66000,-0.48000,32.00000,34.00000,34.00000,52.00000,83.00000,28.00000,2.15000,3.44000,3.01000,2.86667,42.84783,59.63480,19.38333,33.33333,54.33333
13292,5/3/2021 1:26:39 PM,35.74000,14.31000,0.41000,31.00000,28.00000,29.00000,63.00000,78.00000,31.00000,1.72000,0.86000,0.86000,1.14667,38.49836,68.17925,16.82000,29.33333,57.33333
13293,5/3/2021 1:26:39 PM,37.70000,20.55000,-0.23000,51.00000,46.00000,52.00000,79.00000,91.00000,81.00000,10.32000,8.60000,10.75000,9.89000,42.93708,61.40551,19.34000,49.66667,83.66667
13294,5/3/2021 1:26:39 PM,37.82000,20.79000,-0.08000,30.00000,33.00000,34.00000,38.00000,81.00000,55.00000,1.29000,3.01000,3.01000,2.43667,43.15758,61.20200,19.51000,32.33333,58.00000
13295,5/3/2021 1:26:39 PM,35.31000,16.82000,-0.02000,33.00000,35.00000,33.00000,37.00000,75.00000,31.00000,2.58000,3.87000,2.58000,3.01000,39.11149,64.52910,17.37000,33.66667,47.66667
13296,5/3/2021 1:26:39 PM,39.97000,20.25000,-0.08000,44.00000,41.00000,44.00000,65.00000,89.00000,77.00000,7.31000,6.45000,7.31000,7.02333,44.80696,63.13186,20.04667,43.00000,77.00000
13297,5/3/2021 1:26:39 PM,38.53000,18.61000,0.12000,43.00000,38.00000,49.00000,65.00000,88.00000,65.00000,6.88000,5.16000,9.46000,7.16667,42.78894,64.21945,19.08667,43.33333,72.66667
13298,5/3/2021 1:26:39 PM,38.86000,19.83000,-0.20000,41.00000,40.00000,43.00000,61.00000,89.00000,75.00000,6.02000,6.02000,6.88000,6.30667,43.62715,62.96508,19.49667,41.33333,75.00000
13299,5/3/2021 1:26:39 PM,35.82000,16.86000,1.04000,32.00000,28.00000,31.00000,32.00000,72.00000,15.00000,2.15000,0.86000,1.72000,1.57667,39.58955,64.79426,17.90667,30.33333,39.66667
13300,5/3/2021 1:26:39 PM,34.82000,18.71000,0.23000,30.00000,34.00000,32.00000,40.00000,89.00000,58.00000,1.29000,3.44000,2.15000,2.29333,39.52843,61.74931,17.92000,32.00000,62.33333
13301,5/3/2021 1:26:39 PM,39.46000,19.96000,0.10000,42.00000,45.00000,43.00000,66.00000,90.00000,72.00000,6.45000,8.17000,6.88000,7.16667,44.22096,63.16841,19.84000,43.33333,76.00000
13302,5/3/2021 1:26:39 PM,34.29000,18.73000,0.30000,34.00000,32.00000,34.00000,41.00000,79.00000,52.00000,3.01000,2.58000,3.01000,2.86667,39.07195,61.35560,17.77333,33.33333,57.33333
13303,5/3/2021 1:26:39 PM,41.44000,21.22000,0.29000,40.00000,36.00000,40.00000,65.00000,82.00000,50.00000,5.59000,4.30000,5.59000,5.16000,46.55708,62.88457,20.98333,38.66667,65.66667
